#Codons	#Counts	#Probability	#p-value
314	60	0.0006	0.02026
316	3	3e-05	0.01966
318	90	0.0009	0.01963
321	2	2e-05	0.01873
323	92	0.00092	0.01871
325	12	0.00012	0.01779
326	14	0.00014	0.01767
327	86	0.00086	0.01753
328	63	0.00063	0.01667
329	16	0.00016	0.01604
330	51	0.00051	0.01588
331	26	0.00026	0.01537
332	57	0.00057	0.01511
334	3	3e-05	0.01454
335	3	3e-05	0.01451
337	98	0.00098	0.01448
339	14	0.00014	0.0135
340	5	5e-05	0.01336
341	84	0.00084	0.01331
342	15	0.00015	0.01247
345	18	0.00018	0.01232
349	8	8e-05	0.01214
350	60	0.0006	0.01206
352	25	0.00025	0.01146
353	6	6e-05	0.01121
354	1	1e-05	0.01115
356	8	8e-05	0.01114
357	4	4e-05	0.01106
359	90	0.0009	0.01102
363	146	0.00146	0.01012
364	50	0.0005	0.00866
367	69	0.00069	0.00816
370	1	1e-05	0.00747
371	18	0.00018	0.00746
372	136	0.00136	0.00728
373	47	0.00047	0.00592
374	10	0.0001	0.00545
376	126	0.00126	0.00535
377	18	0.00018	0.00409
378	3	3e-05	0.00391
380	45	0.00045	0.00388
384	63	0.00063	0.00343
385	10	0.0001	0.0028
386	1	1e-05	0.0027
387	38	0.00038	0.00269
388	24	0.00024	0.00231
391	29	0.00029	0.00207
393	43	0.00043	0.00178
394	1	1e-05	0.00135
395	6	6e-05	0.00134
397	17	0.00017	0.00128
398	1	1e-05	0.00111
400	29	0.00029	0.0011
402	3	3e-05	0.00081
404	6	6e-05	0.00078
405	11	0.00011	0.00072
408	11	0.00011	0.00061
411	5	5e-05	0.0005
412	1	1e-05	0.00045
415	15	0.00015	0.00044
416	3	3e-05	0.00029
418	1	1e-05	0.00026
424	3	3e-05	0.00025
429	2	2e-05	0.00022
433	1	1e-05	0.0002
443	1	1e-05	0.00019
450	1	1e-05	0.00018
454	2	2e-05	0.00017
464	5	5e-05	0.00015
468	3	3e-05	0.0001
486	1	1e-05	7e-05
499	3	3e-05	6e-05
500	1	1e-05	3e-05
527	2	2e-05	2e-05
