Counter({56: 1619, 59: 1607, 55: 1605, 53: 1599, 57: 1575, 60: 1575, 51: 1571, 54: 1547, 58: 1546, 61: 1538, 52: 1527, 62: 1508, 64: 1504, 47: 1497, 50: 1497, 63: 1494, 49: 1493, 66: 1486, 48: 1476, 46: 1468, 65: 1462, 45: 1403, 67: 1402, 44: 1385, 68: 1360, 69: 1330, 72: 1322, 43: 1310, 70: 1284, 71: 1283, 42: 1281, 73: 1231, 74: 1226, 76: 1200, 78: 1198, 41: 1193, 40: 1164, 75: 1133, 79: 1126, 77: 1117, 80: 1089, 82: 1063, 39: 1045, 83: 1044, 81: 1020, 38: 964, 37: 947, 84: 939, 85: 906, 86: 894, 88: 877, 87: 871, 36: 867, 89: 841, 35: 812, 93: 776, 90: 766, 91: 753, 92: 747, 94: 734, 34: 721, 95: 715, 96: 684, 99: 626, 98: 621, 33: 619, 97: 608, 32: 599, 101: 580, 100: 559, 103: 541, 31: 518, 102: 518, 105: 508, 104: 490, 106: 485, 107: 462, 108: 454, 30: 446, 109: 444, 112: 431, 110: 423, 111: 403, 113: 382, 115: 380, 29: 378, 116: 370, 114: 364, 119: 350, 28: 341, 118: 322, 121: 320, 120: 307, 117: 304, 122: 291, 123: 282, 125: 280, 27: 275, 124: 260, 26: 235, 126: 235, 128: 235, 127: 222, 129: 220, 131: 216, 130: 211, 133: 211, 132: 202, 135: 187, 134: 180, 138: 174, 140: 171, 25: 170, 136: 165, 137: 163, 24: 160, 141: 156, 142: 153, 139: 148, 144: 139, 149: 126, 143: 124, 148: 124, 23: 123, 146: 122, 145: 113, 151: 111, 150: 109, 147: 104, 22: 99, 154: 96, 156: 96, 159: 96, 153: 92, 152: 91, 155: 91, 157: 86, 164: 78, 21: 74, 158: 73, 160: 73, 161: 71, 163: 65, 168: 63, 169: 61, 166: 60, 162: 59, 20: 56, 170: 56, 173: 56, 167: 54, 172: 54, 174: 50, 165: 46, 175: 44, 171: 43, 180: 40, 181: 40, 177: 39, 179: 39, 187: 36, 176: 34, 178: 34, 184: 34, 189: 34, 195: 34, 18: 32, 186: 32, 188: 31, 182: 30, 183: 29, 19: 28, 185: 28, 193: 28, 200: 27, 192: 26, 191: 25, 204: 25, 190: 24, 197: 24, 203: 20, 205: 20, 201: 19, 198: 18, 206: 18, 199: 16, 210: 16, 17: 15, 194: 15, 196: 15, 202: 15, 16: 14, 208: 14, 220: 14, 207: 13, 209: 13, 215: 13, 219: 13, 217: 11, 218: 11, 213: 10, 226: 10, 227: 10, 212: 9, 221: 9, 15: 8, 211: 8, 216: 8, 223: 8, 237: 8, 14: 7, 214: 7, 225: 7, 243: 7, 224: 6, 238: 6, 239: 6, 240: 6, 247: 6, 233: 5, 235: 5, 241: 5, 254: 5, 228: 4, 229: 4, 231: 4, 234: 4, 246: 4, 248: 4, 253: 4, 256: 4, 260: 4, 267: 4, 268: 4, 12: 3, 222: 3, 236: 3, 242: 3, 249: 3, 251: 3, 258: 3, 261: 3, 271: 3, 283: 3, 13: 2, 244: 2, 250: 2, 252: 2, 255: 2, 257: 2, 262: 2, 266: 2, 269: 2, 274: 2, 284: 2, 285: 2, 312: 2, 9: 1, 10: 1, 11: 1, 230: 1, 245: 1, 259: 1, 263: 1, 264: 1, 265: 1, 272: 1, 273: 1, 277: 1, 281: 1, 282: 1, 286: 1, 289: 1, 291: 1, 294: 1, 295: 1, 296: 1, 297: 1, 321: 1, 322: 1, 327: 1, 340: 1, 346: 1, 347: 1, 356: 1})
#Codons	#Counts	#Probability	#p-value
133	211	0.00211	0.05672
134	180	0.0018	0.05461
135	187	0.00187	0.05281
136	165	0.00165	0.05094
137	163	0.00163	0.04929
138	174	0.00174	0.04766
139	148	0.00148	0.04592
140	171	0.00171	0.04444
141	156	0.00156	0.04273
142	153	0.00153	0.04117
143	124	0.00124	0.03964
144	139	0.00139	0.0384
145	113	0.00113	0.03701
146	122	0.00122	0.03588
147	104	0.00104	0.03466
148	124	0.00124	0.03362
149	126	0.00126	0.03238
150	109	0.00109	0.03112
151	111	0.00111	0.03003
152	91	0.00091	0.02892
153	92	0.00092	0.02801
154	96	0.00096	0.02709
155	91	0.00091	0.02613
156	96	0.00096	0.02522
157	86	0.00086	0.02426
158	73	0.00073	0.0234
159	96	0.00096	0.02267
160	73	0.00073	0.02171
161	71	0.00071	0.02098
162	59	0.00059	0.02027
163	65	0.00065	0.01968
164	78	0.00078	0.01903
165	46	0.00046	0.01825
166	60	0.0006	0.01779
167	54	0.00054	0.01719
168	63	0.00063	0.01665
169	61	0.00061	0.01602
170	56	0.00056	0.01541
171	43	0.00043	0.01485
172	54	0.00054	0.01442
173	56	0.00056	0.01388
174	50	0.0005	0.01332
175	44	0.00044	0.01282
176	34	0.00034	0.01238
177	39	0.00039	0.01204
178	34	0.00034	0.01165
179	39	0.00039	0.01131
180	40	0.0004	0.01092
181	40	0.0004	0.01052
182	30	0.0003	0.01012
183	29	0.00029	0.00982
184	34	0.00034	0.00953
185	28	0.00028	0.00919
186	32	0.00032	0.00891
187	36	0.00036	0.00859
188	31	0.00031	0.00823
189	34	0.00034	0.00792
190	24	0.00024	0.00758
191	25	0.00025	0.00734
192	26	0.00026	0.00709
193	28	0.00028	0.00683
194	15	0.00015	0.00655
195	34	0.00034	0.0064
196	15	0.00015	0.00606
197	24	0.00024	0.00591
198	18	0.00018	0.00567
199	16	0.00016	0.00549
200	27	0.00027	0.00533
201	19	0.00019	0.00506
202	15	0.00015	0.00487
203	20	0.0002	0.00472
204	25	0.00025	0.00452
205	20	0.0002	0.00427
206	18	0.00018	0.00407
207	13	0.00013	0.00389
208	14	0.00014	0.00376
209	13	0.00013	0.00362
210	16	0.00016	0.00349
211	8	8e-05	0.00333
212	9	9e-05	0.00325
213	10	0.0001	0.00316
214	7	7e-05	0.00306
215	13	0.00013	0.00299
216	8	8e-05	0.00286
217	11	0.00011	0.00278
218	11	0.00011	0.00267
219	13	0.00013	0.00256
220	14	0.00014	0.00243
221	9	9e-05	0.00229
222	3	3e-05	0.0022
223	8	8e-05	0.00217
224	6	6e-05	0.00209
225	7	7e-05	0.00203
226	10	0.0001	0.00196
227	10	0.0001	0.00186
228	4	4e-05	0.00176
229	4	4e-05	0.00172
230	1	1e-05	0.00168
231	4	4e-05	0.00167
233	5	5e-05	0.00163
234	4	4e-05	0.00158
235	5	5e-05	0.00154
236	3	3e-05	0.00149
237	8	8e-05	0.00146
238	6	6e-05	0.00138
239	6	6e-05	0.00132
240	6	6e-05	0.00126
241	5	5e-05	0.0012
242	3	3e-05	0.00115
243	7	7e-05	0.00112
244	2	2e-05	0.00105
245	1	1e-05	0.00103
246	4	4e-05	0.00102
247	6	6e-05	0.00098
248	4	4e-05	0.00092
249	3	3e-05	0.00088
250	2	2e-05	0.00085
251	3	3e-05	0.00083
252	2	2e-05	0.0008
253	4	4e-05	0.00078
254	5	5e-05	0.00074
255	2	2e-05	0.00069
256	4	4e-05	0.00067
257	2	2e-05	0.00063
258	3	3e-05	0.00061
259	1	1e-05	0.00058
260	4	4e-05	0.00057
261	3	3e-05	0.00053
262	2	2e-05	0.0005
263	1	1e-05	0.00048
264	1	1e-05	0.00047
265	1	1e-05	0.00046
266	2	2e-05	0.00045
267	4	4e-05	0.00043
268	4	4e-05	0.00039
269	2	2e-05	0.00035
271	3	3e-05	0.00033
272	1	1e-05	0.0003
273	1	1e-05	0.00029
274	2	2e-05	0.00028
277	1	1e-05	0.00026
281	1	1e-05	0.00025
282	1	1e-05	0.00024
283	3	3e-05	0.00023
284	2	2e-05	0.0002
285	2	2e-05	0.00018
286	1	1e-05	0.00016
289	1	1e-05	0.00015
291	1	1e-05	0.00014
294	1	1e-05	0.00013
295	1	1e-05	0.00012
296	1	1e-05	0.00011
297	1	1e-05	0.0001
312	2	2e-05	9e-05
321	1	1e-05	7e-05
322	1	1e-05	6e-05
327	1	1e-05	5e-05
340	1	1e-05	4e-05
346	1	1e-05	3e-05
347	1	1e-05	2e-05
356	1	1e-05	1e-05
